hello 你好
hi 嗨
goodbye 再见
bye 再见
morning 早晨
afternoon 下午
evening 晚上
night 夜晚
thank 谢谢
please 请
sorry 对不起
yes 是
no 不
good 好的
great 很棒的
fine 好的
happy 高兴的
sad 伤心的
boy 男孩
girl 女孩
man 男人
woman 女人
father 父亲
mother 母亲
dad 爸爸
mom 妈妈
brother 兄弟
sister 姐妹
grandpa 爷爷
grandma 奶奶
teacher 老师
student 学生
friend 朋友
class 班级
school 学校
book 书
bag 书包
pencil 铅笔
pen 钢笔
ruler 尺子
eraser 橡皮
desk 书桌
chair 椅子
door 门
window 窗户
blackboard 黑板
apple 苹果
banana 香蕉
orange 橙子
pear 梨
grape 葡萄
watermelon 西瓜
milk 牛奶
water 水
juice 果汁
rice 米饭
bread 面包
egg 鸡蛋
cake 蛋糕
fish 鱼
chicken 鸡肉
cat 猫
dog 狗
bird 鸟
duck 鸭子
rabbit 兔子
monkey 猴子
panda 熊猫
tiger 老虎
lion 狮子
elephant 大象
red 红色
blue 蓝色
yellow 黄色
green 绿色
black 黑色
white 白色
brown 棕色
pink 粉色
one 一
two 二
three 三
four 四
five 五
six 六
seven 七
eight 八
nine 九
ten 十
big 大的
small 小的
long 长的
short 短的
new 新的
old 旧的
hot 热的
cold 冷的
warm 温暖的
cool 凉爽的
sun 太阳
moon 月亮
star 星星
cloud 云
rain 雨
snow 雪
